52.0 APEX_CODE,FINEST;APEX_PROFILING,NONE;CALLOUT,NONE;DB,INFO;NBA,NONE;SYSTEM,NONE;VALIDATION,NONE;VISUALFORCE,NONE;WAVE,NONE;WORKFLOW,NONE
10:34:48.0 (875084)|USER_INFO|[EXTERNAL]|0052v00000fQDGY|api@naturalchemist.com.au.sand1|(GMT+11:00) Australian Eastern Daylight Time (Australia/Sydney)|GMT+11:00
10:34:48.0 (964888)|EXECUTION_STARTED
10:34:48.0 (975796)|CODE_UNIT_STARTED|[EXTERNAL]|01p1y000003gCE1|InvocableNotifyClinicNewOrderTest.ordersBulkUpdateFromAwaitingFulfillmentToAwaitingShipment_2EmailMessageShouldBeSent_BecauseOrd1AndOrd2ContainActiveScriptAndTheProductsAreInTheirOrderItems()
	10:34:48.0 (2772110)|VARIABLE_SCOPE_BEGIN|[93]|InvocableNotifyClinicNewOrderTest.bigCommercePricebook|Pricebook2|true|true
	10:34:48.0 (2815112)|VARIABLE_SCOPE_BEGIN|[90]|InvocableNotifyClinicNewOrderTest.defaultClinic|Account|true|true
	10:34:48.0 (3042333)|VARIABLE_SCOPE_BEGIN|[99]|InvocableNotifyClinicNewOrderTest.defaultClinicCustomSetting|DefaultPractitionerId__c|true|true
	10:34:48.0 (3083747)|VARIABLE_SCOPE_BEGIN|[98]|InvocableNotifyClinicNewOrderTest.emailTemplateNotifyClinicNewOrder|General_Natural_Chemist__c|true|true
	10:34:48.0 (3097758)|VARIABLE_SCOPE_BEGIN|[98]|InvocableNotifyClinicNewOrderTest.getOrderCreationgTimeConditional|General_Natural_Chemist__c|true|true
	10:34:48.0 (3151505)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli1P1|OrderItem|true|true
	10:34:48.0 (3166610)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli1P2|OrderItem|true|true
	10:34:48.0 (3180224)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli2P3|OrderItem|true|true
	10:34:48.0 (3191439)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli3P1|OrderItem|true|true
	10:34:48.0 (3204776)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli3P3|OrderItem|true|true
	10:34:48.0 (3232777)|VARIABLE_SCOPE_BEGIN|[95]|InvocableNotifyClinicNewOrderTest.ord1|Order|true|true
	10:34:48.0 (3247387)|VARIABLE_SCOPE_BEGIN|[95]|InvocableNotifyClinicNewOrderTest.ord2|Order|true|true
	10:34:48.0 (3260777)|VARIABLE_SCOPE_BEGIN|[95]|InvocableNotifyClinicNewOrderTest.ord3|Order|true|true
	10:34:48.0 (3292276)|VARIABLE_SCOPE_BEGIN|[92]|InvocableNotifyClinicNewOrderTest.p1|Product2|true|true
	10:34:48.0 (3305803)|VARIABLE_SCOPE_BEGIN|[92]|InvocableNotifyClinicNewOrderTest.p2|Product2|true|true
	10:34:48.0 (3319006)|VARIABLE_SCOPE_BEGIN|[92]|InvocableNotifyClinicNewOrderTest.p3|Product2|true|true
	10:34:48.0 (3352349)|VARIABLE_SCOPE_BEGIN|[91]|InvocableNotifyClinicNewOrderTest.patient|Contact|true|true
	10:34:48.0 (3387529)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbe1|PricebookEntry|true|true
	10:34:48.0 (3400139)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbe2|PricebookEntry|true|true
	10:34:48.0 (3413874)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbe3|PricebookEntry|true|true
	10:34:48.0 (3427456)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbeStd1|PricebookEntry|true|true
	10:34:48.0 (3442042)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbeStd2|PricebookEntry|true|true
	10:34:48.0 (3455374)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbeStd3|PricebookEntry|true|true
	10:34:48.0 (3469227)|VARIABLE_SCOPE_BEGIN|[91]|InvocableNotifyClinicNewOrderTest.practitioner|Contact|true|true
	10:34:48.0 (3495840)|VARIABLE_SCOPE_BEGIN|[97]|InvocableNotifyClinicNewOrderTest.script1|Script__c|true|true
	10:34:48.0 (3510547)|VARIABLE_SCOPE_BEGIN|[97]|InvocableNotifyClinicNewOrderTest.script2|Script__c|true|true
	10:34:48.0 (3524294)|VARIABLE_SCOPE_BEGIN|[97]|InvocableNotifyClinicNewOrderTest.script3|Script__c|true|true
	10:34:48.0 (3538474)|VARIABLE_SCOPE_BEGIN|[93]|InvocableNotifyClinicNewOrderTest.stdPricebook|Pricebook2|true|true
	10:34:48.0 (3651525)|METHOD_ENTRY|[2]|01p1y000003gCE1|InvocableNotifyClinicNewOrderTest.InvocableNotifyClinicNewOrderTest()
		10:34:48.0 (5236573)|METHOD_ENTRY|[2]|01p1y000002t305|Builder.Builder()
		10:34:48.0 (5332440)|METHOD_EXIT|[2]|Builder
		10:34:48.0 (5361712)|METHOD_ENTRY|[101]|01p1y000002t305|Builder.anAccount()
			10:34:48.0 (5604721)|CONSTRUCTOR_ENTRY|[125]|01p1y000002t305|<init>()|Builder.AccountBuilder
			10:34:48.0 (5650232)|VARIABLE_SCOPE_BEGIN|[100]|this|Builder.AccountBuilder|true|false
			10:34:48.0 (5817489)|VARIABLE_ASSIGNMENT|[100]|this|{}|0x8cf6a47
			10:34:48.0 (8955766)|VARIABLE_ASSIGNMENT|[101]|this.ABN__c|"00000000000"|0x4ba8e57a
			10:34:48.0 (9059785)|VARIABLE_ASSIGNMENT|[101]|this.acc|{"ABN__c":"00000000000"}|0x8cf6a47
			10:34:48.0 (9078818)|CONSTRUCTOR_EXIT|[125]|01p1y000002t305|<init>()|Builder.AccountBuilder
		10:34:48.0 (9109042)|METHOD_EXIT|[101]|01p1y000002t305|Builder.anAccount()
		10:34:48.0 (9137844)|METHOD_ENTRY|[102]|01p1y000002t305|Builder.AccountBuilder.setName(String)
			10:34:48.0 (9161875)|VARIABLE_SCOPE_BEGIN|[105]|this|Builder.AccountBuilder|true|false
			10:34:48.0 (9193448)|VARIABLE_ASSIGNMENT|[105]|this|{"acc":"0x4ba8e57a"}|0x8cf6a47
			10:34:48.0 (9202872)|VARIABLE_SCOPE_BEGIN|[105]|name|String|false|false
			10:34:48.0 (9217837)|VARIABLE_ASSIGNMENT|[105]|name|"Default Clinic"
			10:34:48.0 (9660731)|VARIABLE_ASSIGNMENT|[106]|this.Name|"Default Clinic"|0x4ba8e57a
