52.0 APEX_CODE,FINEST;APEX_PROFILING,NONE;CALLOUT,NONE;DB,INFO;NBA,NONE;SYSTEM,NONE;VALIDATION,NONE;VISUALFORCE,NONE;WAVE,NONE;WORKFLOW,NONE
10:35:52.0 (620416)|USER_INFO|[EXTERNAL]|0052v00000fQDGY|api@naturalchemist.com.au.sand1|(GMT+11:00) Australian Eastern Daylight Time (Australia/Sydney)|GMT+11:00
10:35:52.0 (833120)|EXECUTION_STARTED
10:35:52.0 (854393)|CODE_UNIT_STARTED|[EXTERNAL]|01p1y000003gCE1|InvocableNotifyClinicNewOrderTest.ordersBulkUpdateFromAwaitingFulfillmentToAwaitingShipment_2EmailMessageShouldBeSent_BecauseOrd1AndOrd2ContainActiveScriptAndTheProductsAreInTheirOrderItems()
	10:35:52.0 (2345529)|VARIABLE_SCOPE_BEGIN|[93]|InvocableNotifyClinicNewOrderTest.bigCommercePricebook|Pricebook2|true|true
	10:35:52.0 (2376402)|VARIABLE_SCOPE_BEGIN|[90]|InvocableNotifyClinicNewOrderTest.defaultClinic|Account|true|true
	10:35:52.0 (2384600)|VARIABLE_SCOPE_BEGIN|[99]|InvocableNotifyClinicNewOrderTest.defaultClinicCustomSetting|DefaultPractitionerId__c|true|true
	10:35:52.0 (2392082)|VARIABLE_SCOPE_BEGIN|[98]|InvocableNotifyClinicNewOrderTest.emailTemplateNotifyClinicNewOrder|General_Natural_Chemist__c|true|true
	10:35:52.0 (2401127)|VARIABLE_SCOPE_BEGIN|[98]|InvocableNotifyClinicNewOrderTest.getOrderCreationgTimeConditional|General_Natural_Chemist__c|true|true
	10:35:52.0 (2408159)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli1P1|OrderItem|true|true
	10:35:52.0 (2416249)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli1P2|OrderItem|true|true
	10:35:52.0 (2423311)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli2P3|OrderItem|true|true
	10:35:52.0 (2430103)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli3P1|OrderItem|true|true
