52.0 APEX_CODE,FINEST;APEX_PROFILING,NONE;CALLOUT,NONE;DB,INFO;NBA,NONE;SYSTEM,NONE;VALIDATION,NONE;VISUALFORCE,NONE;WAVE,NONE;WORKFLOW,NONE
10:36:41.0 (471888)|USER_INFO|[EXTERNAL]|0052v00000fQDGY|api@naturalchemist.com.au.sand1|(GMT+11:00) Australian Eastern Daylight Time (Australia/Sydney)|GMT+11:00
10:36:41.0 (518254)|EXECUTION_STARTED
10:36:41.0 (528223)|CODE_UNIT_STARTED|[EXTERNAL]|01p1y000003gCE1|InvocableNotifyClinicNewOrderTest.ordersBulkUpdateFromAwaitingFulfillmentToAwaitingShipment_2EmailMessageShouldBeSent_BecauseOrd1AndOrd2ContainActiveScriptAndTheProductsAreInTheirOrderItems()
	10:36:41.0 (1623473)|VARIABLE_SCOPE_BEGIN|[93]|InvocableNotifyClinicNewOrderTest.bigCommercePricebook|Pricebook2|true|true
	10:36:41.0 (1633191)|VARIABLE_SCOPE_BEGIN|[90]|InvocableNotifyClinicNewOrderTest.defaultClinic|Account|true|true
	10:36:41.0 (1641264)|VARIABLE_SCOPE_BEGIN|[99]|InvocableNotifyClinicNewOrderTest.defaultClinicCustomSetting|DefaultPractitionerId__c|true|true
	10:36:41.0 (1648539)|VARIABLE_SCOPE_BEGIN|[98]|InvocableNotifyClinicNewOrderTest.emailTemplateNotifyClinicNewOrder|General_Natural_Chemist__c|true|true
	10:36:41.0 (1655750)|VARIABLE_SCOPE_BEGIN|[98]|InvocableNotifyClinicNewOrderTest.getOrderCreationgTimeConditional|General_Natural_Chemist__c|true|true
	10:36:41.0 (1662489)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli1P1|OrderItem|true|true
	10:36:41.0 (1670554)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli1P2|OrderItem|true|true
	10:36:41.0 (1677139)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli2P3|OrderItem|true|true
	10:36:41.0 (1683642)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli3P1|OrderItem|true|true
	10:36:41.0 (1690735)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli3P3|OrderItem|true|true
	10:36:41.0 (1697814)|VARIABLE_SCOPE_BEGIN|[95]|InvocableNotifyClinicNewOrderTest.ord1|Order|true|true
	10:36:41.0 (1704863)|VARIABLE_SCOPE_BEGIN|[95]|InvocableNotifyClinicNewOrderTest.ord2|Order|true|true
	10:36:41.0 (1711305)|VARIABLE_SCOPE_BEGIN|[95]|InvocableNotifyClinicNewOrderTest.ord3|Order|true|true
	10:36:41.0 (1717932)|VARIABLE_SCOPE_BEGIN|[92]|InvocableNotifyClinicNewOrderTest.p1|Product2|true|true
	10:36:41.0 (1724642)|VARIABLE_SCOPE_BEGIN|[92]|InvocableNotifyClinicNewOrderTest.p2|Product2|true|true
	10:36:41.0 (1731340)|VARIABLE_SCOPE_BEGIN|[92]|InvocableNotifyClinicNewOrderTest.p3|Product2|true|true
	10:36:41.0 (1738459)|VARIABLE_SCOPE_BEGIN|[91]|InvocableNotifyClinicNewOrderTest.patient|Contact|true|true
	10:36:41.0 (1746016)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbe1|PricebookEntry|true|true
	10:36:41.0 (1753139)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbe2|PricebookEntry|true|true
	10:36:41.0 (1759795)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbe3|PricebookEntry|true|true
	10:36:41.0 (1766764)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbeStd1|PricebookEntry|true|true
	10:36:41.0 (1773651)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbeStd2|PricebookEntry|true|true
	10:36:41.0 (1780591)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbeStd3|PricebookEntry|true|true
	10:36:41.0 (1787657)|VARIABLE_SCOPE_BEGIN|[91]|InvocableNotifyClinicNewOrderTest.practitioner|Contact|true|true
	10:36:41.0 (1794966)|VARIABLE_SCOPE_BEGIN|[97]|InvocableNotifyClinicNewOrderTest.script1|Script__c|true|true
	10:36:41.0 (1802564)|VARIABLE_SCOPE_BEGIN|[97]|InvocableNotifyClinicNewOrderTest.script2|Script__c|true|true
	10:36:41.0 (1809952)|VARIABLE_SCOPE_BEGIN|[97]|InvocableNotifyClinicNewOrderTest.script3|Script__c|true|true
	10:36:41.0 (1816933)|VARIABLE_SCOPE_BEGIN|[93]|InvocableNotifyClinicNewOrderTest.stdPricebook|Pricebook2|true|true
	10:36:41.0 (2323818)|METHOD_ENTRY|[2]|01p1y000003gCE1|InvocableNotifyClinicNewOrderTest.InvocableNotifyClinicNewOrderTest()
		10:36:41.0 (3982069)|METHOD_ENTRY|[2]|01p1y000002t305|Builder.Builder()
		10:36:41.0 (4112911)|METHOD_EXIT|[2]|Builder
		10:36:41.0 (4130585)|METHOD_ENTRY|[101]|01p1y000002t305|Builder.anAccount()
			10:36:41.0 (4287631)|CONSTRUCTOR_ENTRY|[125]|01p1y000002t305|<init>()|Builder.AccountBuilder
			10:36:41.0 (4309559)|VARIABLE_SCOPE_BEGIN|[100]|this|Builder.AccountBuilder|true|false
			10:36:41.0 (4391828)|VARIABLE_ASSIGNMENT|[100]|this|{}|0x383ab876
			10:36:41.0 (7898276)|VARIABLE_ASSIGNMENT|[101]|this.ABN__c|"00000000000"|0x63dfb1ff
			10:36:41.0 (7965221)|VARIABLE_ASSIGNMENT|[101]|this.acc|{"ABN__c":"00000000000"}|0x383ab876
			10:36:41.0 (7979424)|CONSTRUCTOR_EXIT|[125]|01p1y000002t305|<init>()|Builder.AccountBuilder
		10:36:41.0 (7999397)|METHOD_EXIT|[101]|01p1y000002t305|Builder.anAccount()
		10:36:41.0 (8043114)|METHOD_ENTRY|[102]|01p1y000002t305|Builder.AccountBuilder.setName(String)
			10:36:41.0 (8073171)|VARIABLE_SCOPE_BEGIN|[105]|this|Builder.AccountBuilder|true|false
			10:36:41.0 (8107646)|VARIABLE_ASSIGNMENT|[105]|this|{"acc":"0x63dfb1ff"}|0x383ab876
			10:36:41.0 (8113836)|VARIABLE_SCOPE_BEGIN|[105]|name|String|false|false
			10:36:41.0 (8125013)|VARIABLE_ASSIGNMENT|[105]|name|"Default Clinic"
			10:36:41.0 (8525404)|VARIABLE_ASSIGNMENT|[106]|this.Name|"Default Clinic"|0x63dfb1ff
		10:36:41.0 (8543607)|METHOD_EXIT|[102]|01p1y000002t305|Builder.AccountBuilder.setName(String)
		10:36:41.0 (8567912)|METHOD_ENTRY|[103]|01p1y000002t305|Builder.AccountBuilder.setPracEmail(String)
			10:36:41.0 (8585367)|VARIABLE_SCOPE_BEGIN|[110]|this|Builder.AccountBuilder|true|false
			10:36:41.0 (8613957)|VARIABLE_ASSIGNMENT|[110]|this|{"acc":"0x63dfb1ff"}|0x383ab876
			10:36:41.0 (8620319)|VARIABLE_SCOPE_BEGIN|[110]|pracEmail|String|false|false
			10:36:41.0 (8635110)|VARIABLE_ASSIGNMENT|[110]|pracEmail|"practemail@testgmail (4 more) ..."
			10:36:41.0 (8718119)|VARIABLE_ASSIGNMENT|[111]|this.Prac_email__c|"practemail@testgmail (4 more) ..."|0x63dfb1ff
		10:36:41.0 (8735426)|METHOD_EXIT|[103]|01p1y000002t305|Builder.AccountBuilder.setPracEmail(String)
		10:36:41.0 (8756156)|METHOD_ENTRY|[104]|01p1y000002t305|Builder.AccountBuilder.setNotifyWhenOrderIsCreated(Boolean)
			10:36:41.0 (8773573)|VARIABLE_SCOPE_BEGIN|[115]|this|Builder.AccountBuilder|true|false
			10:36:41.0 (8807559)|VARIABLE_ASSIGNMENT|[115]|this|{"acc":"0x63dfb1ff"}|0x383ab876
			10:36:41.0 (8823795)|VARIABLE_SCOPE_BEGIN|[115]|notifyWhenOrderIsCreated|Boolean|false|false
			10:36:41.0 (8835054)|VARIABLE_ASSIGNMENT|[115]|notifyWhenOrderIsCreated|true
			10:36:41.0 (8906770)|VARIABLE_ASSIGNMENT|[116]|this.Notify_When_Order_Is_Created__c|true|0x63dfb1ff
		10:36:41.0 (8919545)|METHOD_EXIT|[104]|01p1y000002t305|Builder.AccountBuilder.setNotifyWhenOrderIsCreated(Boolean)
		10:36:41.0 (8930199)|METHOD_ENTRY|[105]|01p1y000002t305|Builder.AccountBuilder.build()
			10:36:41.0 (8943053)|VARIABLE_SCOPE_BEGIN|[120]|this|Builder.AccountBuilder|true|false
			10:36:41.0 (8963361)|VARIABLE_ASSIGNMENT|[120]|this|{"acc":"0x63dfb1ff"}|0x383ab876
		10:36:41.0 (8982862)|METHOD_EXIT|[105]|01p1y000002t305|Builder.AccountBuilder.build()
		10:36:41.0 (9030562)|VARIABLE_ASSIGNMENT|[101]|InvocableNotifyClinicNewOrderTest.defaultClinic|{"ABN__c":"00000000000","Name":"Default Clinic","Prac_email__c":"practemail@testgmail (4 more) ...","Notify_When_Order_Is_Created__c":true}|0x63dfb1ff
		10:36:41.0 (9127614)|DML_BEGIN|[107]|Op:Insert|Type:Account|Rows:1
		10:36:41.0 (31635701)|CODE_UNIT_STARTED|[EXTERNAL]|Validation:Account:new
		10:36:41.0 (31827405)|CODE_UNIT_FINISHED|Validation:Account:new
		10:36:41.0 (32327471)|CODE_UNIT_STARTED|[EXTERNAL]|DuplicateDetector
		10:36:41.0 (67163393)|CODE_UNIT_FINISHED|DuplicateDetector
		10:36:41.134 (134291942)|ENTERING_MANAGED_PKG|smsg
		10:36:41.134 (136341864)|ENTERING_MANAGED_PKG|smsg
