52.0 APEX_CODE,FINEST;APEX_PROFILING,NONE;CALLOUT,NONE;DB,INFO;NBA,NONE;SYSTEM,NONE;VALIDATION,NONE;VISUALFORCE,NONE;WAVE,NONE;WORKFLOW,NONE
10:32:53.2 (2616797)|USER_INFO|[EXTERNAL]|0052v00000fQDGY|api@naturalchemist.com.au.sand1|(GMT+11:00) Australian Eastern Daylight Time (Australia/Sydney)|GMT+11:00
10:32:53.2 (2701458)|EXECUTION_STARTED
10:32:53.2 (2712725)|CODE_UNIT_STARTED|[EXTERNAL]|01p1y000003gCE1|InvocableNotifyClinicNewOrderTest.ordersBulkUpdateFromAwaitingFulfillmentToAwaitingShipment_2EmailMessageShouldBeSent_BecauseOrd1AndOrd2ContainActiveScriptAndTheProductsAreInTheirOrderItems()
	10:32:53.2 (3319346)|VARIABLE_SCOPE_BEGIN|[93]|InvocableNotifyClinicNewOrderTest.bigCommercePricebook|Pricebook2|true|true
	10:32:53.2 (3354236)|VARIABLE_SCOPE_BEGIN|[90]|InvocableNotifyClinicNewOrderTest.defaultClinic|Account|true|true
	10:32:53.2 (3382201)|VARIABLE_SCOPE_BEGIN|[99]|InvocableNotifyClinicNewOrderTest.defaultClinicCustomSetting|DefaultPractitionerId__c|true|true
	10:32:53.2 (3415600)|VARIABLE_SCOPE_BEGIN|[98]|InvocableNotifyClinicNewOrderTest.emailTemplateNotifyClinicNewOrder|General_Natural_Chemist__c|true|true
	10:32:53.2 (3430286)|VARIABLE_SCOPE_BEGIN|[98]|InvocableNotifyClinicNewOrderTest.getOrderCreationgTimeConditional|General_Natural_Chemist__c|true|true
	10:32:53.2 (3473155)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli1P1|OrderItem|true|true
	10:32:53.2 (3488301)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli1P2|OrderItem|true|true
	10:32:53.2 (3501932)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli2P3|OrderItem|true|true
	10:32:53.2 (3514570)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli3P1|OrderItem|true|true
	10:32:53.2 (3525683)|VARIABLE_SCOPE_BEGIN|[96]|InvocableNotifyClinicNewOrderTest.oli3P3|OrderItem|true|true
	10:32:53.2 (3547279)|VARIABLE_SCOPE_BEGIN|[95]|InvocableNotifyClinicNewOrderTest.ord1|Order|true|true
	10:32:53.2 (3561394)|VARIABLE_SCOPE_BEGIN|[95]|InvocableNotifyClinicNewOrderTest.ord2|Order|true|true
	10:32:53.2 (3575067)|VARIABLE_SCOPE_BEGIN|[95]|InvocableNotifyClinicNewOrderTest.ord3|Order|true|true
	10:32:53.2 (3603839)|VARIABLE_SCOPE_BEGIN|[92]|InvocableNotifyClinicNewOrderTest.p1|Product2|true|true
	10:32:53.2 (3617647)|VARIABLE_SCOPE_BEGIN|[92]|InvocableNotifyClinicNewOrderTest.p2|Product2|true|true
	10:32:53.2 (3630767)|VARIABLE_SCOPE_BEGIN|[92]|InvocableNotifyClinicNewOrderTest.p3|Product2|true|true
	10:32:53.2 (3652580)|VARIABLE_SCOPE_BEGIN|[91]|InvocableNotifyClinicNewOrderTest.patient|Contact|true|true
	10:32:53.2 (3680549)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbe1|PricebookEntry|true|true
	10:32:53.2 (3694498)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbe2|PricebookEntry|true|true
	10:32:53.2 (3708550)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbe3|PricebookEntry|true|true
	10:32:53.2 (3733433)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbeStd1|PricebookEntry|true|true
	10:32:53.2 (3746045)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbeStd2|PricebookEntry|true|true
	10:32:53.2 (3759840)|VARIABLE_SCOPE_BEGIN|[94]|InvocableNotifyClinicNewOrderTest.pbeStd3|PricebookEntry|true|true
	10:32:53.2 (3772440)|VARIABLE_SCOPE_BEGIN|[91]|InvocableNotifyClinicNewOrderTest.practitioner|Contact|true|true
	10:32:53.2 (3793257)|VARIABLE_SCOPE_BEGIN|[97]|InvocableNotifyClinicNewOrderTest.script1|Script__c|true|true
	10:32:53.2 (3807018)|VARIABLE_SCOPE_BEGIN|[97]|InvocableNotifyClinicNewOrderTest.script2|Script__c|true|true
	10:32:53.2 (3820498)|VARIABLE_SCOPE_BEGIN|[97]|InvocableNotifyClinicNewOrderTest.script3|Script__c|true|true
	10:32:53.2 (3833976)|VARIABLE_SCOPE_BEGIN|[93]|InvocableNotifyClinicNewOrderTest.stdPricebook|Pricebook2|true|true
	10:32:53.2 (3936025)|METHOD_ENTRY|[2]|01p1y000003gCE1|InvocableNotifyClinicNewOrderTest.InvocableNotifyClinicNewOrderTest()
		10:32:53.2 (26388199)|METHOD_ENTRY|[2]|01p1y000002t305|Builder.Builder()
		10:32:53.2 (26489663)|METHOD_EXIT|[2]|Builder
		10:32:53.2 (26537106)|METHOD_ENTRY|[101]|01p1y000002t305|Builder.anAccount()
			10:32:53.2 (27080704)|CONSTRUCTOR_ENTRY|[125]|01p1y000002t305|<init>()|Builder.AccountBuilder
			10:32:53.2 (27181311)|VARIABLE_SCOPE_BEGIN|[100]|this|Builder.AccountBuilder|true|false
			10:32:53.2 (27333884)|VARIABLE_ASSIGNMENT|[100]|this|{}|0x51f47407
			10:32:53.2 (29974496)|VARIABLE_ASSIGNMENT|[101]|this.ABN__c|"00000000000"|0x58bfd4a3
			10:32:53.2 (30039544)|VARIABLE_ASSIGNMENT|[101]|this.acc|{"ABN__c":"00000000000"}|0x51f47407
			10:32:53.2 (30059947)|CONSTRUCTOR_EXIT|[125]|01p1y000002t305|<init>()|Builder.AccountBuilder
		10:32:53.2 (30089984)|METHOD_EXIT|[101]|01p1y000002t305|Builder.anAccount()
		10:32:53.2 (30194714)|METHOD_ENTRY|[102]|01p1y000002t305|Builder.AccountBuilder.setName(String)
			10:32:53.2 (30227102)|VARIABLE_SCOPE_BEGIN|[105]|this|Builder.AccountBuilder|true|false
			10:32:53.2 (30266875)|VARIABLE_ASSIGNMENT|[105]|this|{"acc":"0x58bfd4a3"}|0x51f47407
			10:32:53.2 (30282187)|VARIABLE_SCOPE_BEGIN|[105]|name|String|false|false
			10:32:53.2 (30302583)|VARIABLE_ASSIGNMENT|[105]|name|"Default Clinic"
			10:32:53.2 (30449935)|VARIABLE_ASSIGNMENT|[106]|this.Name|"Default Clinic"|0x58bfd4a3
		10:32:53.2 (30470959)|METHOD_EXIT|[102]|01p1y000002t305|Builder.AccountBuilder.setName(String)
		10:32:53.2 (30501986)|METHOD_ENTRY|[103]|01p1y000002t305|Builder.AccountBuilder.setPracEmail(String)
			10:32:53.2 (30522471)|VARIABLE_SCOPE_BEGIN|[110]|this|Builder.AccountBuilder|true|false
			10:32:53.2 (30554290)|VARIABLE_ASSIGNMENT|[110]|this|{"acc":"0x58bfd4a3"}|0x51f47407
			10:32:53.2 (30565578)|VARIABLE_SCOPE_BEGIN|[110]|pracEmail|String|false|false
			10:32:53.2 (30584955)|VARIABLE_ASSIGNMENT|[110]|pracEmail|"practemail@testgmail (4 more) ..."
			10:32:53.2 (30665479)|VARIABLE_ASSIGNMENT|[111]|this.Prac_email__c|"practemail@testgmail (4 more) ..."|0x58bfd4a3
		10:32:53.2 (30681589)|METHOD_EXIT|[103]|01p1y000002t305|Builder.AccountBuilder.setPracEmail(String)
		10:32:53.2 (30702805)|METHOD_ENTRY|[104]|01p1y000002t305|Builder.AccountBuilder.setNotifyWhenOrderIsCreated(Boolean)
			10:32:53.2 (30721040)|VARIABLE_SCOPE_BEGIN|[115]|this|Builder.AccountBuilder|true|false
			10:32:53.2 (30746383)|VARIABLE_ASSIGNMENT|[115]|this|{"acc":"0x58bfd4a3"}|0x51f47407
			10:32:53.2 (30769179)|VARIABLE_SCOPE_BEGIN|[115]|notifyWhenOrderIsCreated|Boolean|false|false
			10:32:53.2 (30789310)|VARIABLE_ASSIGNMENT|[115]|notifyWhenOrderIsCreated|true
